draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
163,-593.8612417460173,-58.69391652303428,-192.89742107641814,-75.53490046535394,-3.053445343245006
164,-473.2553274338609,-28.386625420821133,-188.39900928574772,-79.14022875304114,-2.6811800707405897
165,-504.80424965480785,-28.251373448925317,-190.0987460190258,-88.5324838382475,-1.873795770841545
166,-556.182155879771,-46.88497738886047,-189.75756430669597,-75.25330898864122,-2.717766361783307
167,-541.0657198717109,-35.06177278448714,-193.24950662201775,-70.80043803162754,-1.684134634529397
168,-409.9382032831371,-38.121752202137635,-199.3316162458935,-69.95855149339498,-2.5460544123590894
169,-519.6247812530453,-47.57437992410542,-182.52474460839335,-77.5589400525938,-2.238270640358223
170,-454.84702625813577,-32.78347104019232,-193.27215035525106,-71.21624089036172,-2.4445680678656143
171,-428.9021398560093,-49.317468341638346,-202.40930513683503,-73.09370587261637,-2.930116562893701
172,-436.68279811952743,-37.75507019639787,-180.39054550439988,-69.72220660791828,-4.537458260253354
173,-561.2197893787911,-40.62257295982282,-207.77719917385036,-73.76637416895433,-2.5284940089440306
174,-377.70057557487064,-22.901418371910403,-196.54084688572857,-84.67247541044073,-1.2011169872785576
175,-315.04612495219925,-33.300104957461656,-208.48456219883127,-73.12523037600643,-0.8312573616974801
176,-449.63311025361014,-31.65302370729441,-180.75534920754873,-74.18753931653,-1.2982207458357755
177,-406.9297214675118,-27.151380684792485,-178.51996889020765,-76.49338466459236,-2.4765147365056284
178,-503.1701894968936,-37.97014926588355,-202.56873821805993,-70.92415717031588,-2.995246532208835
179,-431.08003088567403,-45.323722196592094,-191.5021098888452,-75.38038017037394,-1.9609352531144357
180,-482.9335583199379,-34.23117146825683,-201.62304397427232,-72.75251733455394,-2.738107553991865
181,-565.7927629557437,-37.5252888013282,-203.18665078016957,-78.2368140490216,-2.0900844958554847
182,-440.59120896290966,-34.45629009576952,-199.23025562914236,-71.41563921954172,-2.8456476005381166
183,-502.7082365884424,-44.818047694548945,-201.9615272606262,-76.26537302725322,-3.2604245062924146
184,-509.7843754127617,-25.152174562737596,-193.28507278000674,-81.4124809088856,-3.2139754418125754
185,-520.9952639920741,-38.1645598736637,-191.72011897662102,-70.93647405538437,-2.5222040091488345
186,-453.50593502570365,-55.8406318802646,-204.7144151710338,-72.9072447250535,-1.0826259715731792
187,-379.7874254624881,-41.59498475593506,-202.070572663731,-68.98757839316288,-2.1153055196879844
188,-429.1079310608402,-13.069863577639147,-184.53971153317235,-78.02796977461767,-3.914569693145422
189,-382.70863527292704,-32.18377298033675,-204.59925288799465,-70.88662031084216,-1.9304293584336472
190,-341.7142491164088,-37.96354822568866,-182.31573537275125,-77.1455689334299,-3.7093711439127177
191,-370.6241539763299,-36.523135042743895,-184.91335313299058,-74.80770741721967,-2.2018713291564245
192,-515.7554010572219,-23.34172782723023,-192.92352796663116,-73.60767376935202,-0.5271346879554222
193,-504.80374793666255,-30.31400474777018,-195.3379577388517,-75.05911619823667,-1.2137220100925372
194,-544.0775584201608,-51.123481455807195,-186.14161885182784,-70.51584706598182,-2.5310361626260787
195,-428.2689606503369,-33.21250362786342,-189.33991638009482,-77.23052560366524,-1.7592165972258111
196,-421.2795350249503,-40.938639368807436,-184.2463508238094,-73.4173179462186,-4.360800517083374
197,-430.4945979626979,-37.32878382851451,-184.99056508414134,-73.85086296209644,-2.305648961997624
