draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
123,-384.0746471171191,-16.465250012995817,-193.76341922761668,-77.11712512123825,-3.2667634504030802
124,-452.442033229105,-30.5872725388481,-209.7060685245449,-78.41068534757032,-4.698418507445287
125,-575.8101602318033,-33.04039022701883,-206.70401089890785,-75.85092717967555,-1.8062081279591922
126,-562.6234583997249,-35.46301793620693,-201.68828838247384,-81.25267701652625,-2.1170431074453573
127,-502.0914742657075,-43.3655049584676,-179.09282128788618,-72.03225015667178,-2.1709516743802606
128,-475.8274499916987,-31.716959723744225,-178.49625314922756,-65.91202931694193,-1.9853066627225855
129,-418.7926074437076,-47.556616726085906,-196.32956843759894,-77.65915954169188,-2.8433700577440892
130,-617.689423553864,-32.50622215103684,-190.50760805189896,-74.4230870697597,-1.7243866137328343
131,-399.4112005609297,-23.129324467236703,-209.51576354760599,-70.62924186501095,-2.0240874354801015
132,-620.4448031805542,-45.6225410847446,-192.25317166805843,-75.02585069666769,-1.9339263148265717
133,-457.31700036590644,-51.865690455946705,-200.65283817488057,-85.61959207547287,-3.2859497247368004
134,-451.9840037237287,-17.37806469878361,-210.35437103220667,-71.07811413370017,-2.216958863618783
135,-514.238441895137,-53.21488771836679,-188.46226852801186,-74.422078467165,-1.6052237999905794
136,-445.9515246769489,-42.72573467991776,-212.47128562773807,-81.45790097485511,-3.634554013956067
137,-701.5479743583289,-48.121712054238245,-190.33467126047887,-78.47076981432852,-2.2673119091707967
138,-500.7821881585247,-25.51931979812526,-207.74271985327113,-77.38760438592332,-2.395156663562936
139,-512.4460642525231,-45.46009279199263,-192.51847990161718,-75.44891025961188,-2.0131453867704154
140,-447.668108641141,-32.85190256044258,-199.92571882766902,-72.46548226231651,-3.3511506498400605
141,-508.0933363059395,-35.79044409845113,-201.36900973991618,-76.89301753919611,-3.0577014712725585
142,-534.8490995508797,-36.174379575780776,-192.18451072464455,-77.70243920224533,-1.2896135391251944
143,-381.0969245946913,-49.26021304949357,-210.30984641166017,-83.5595870522877,-1.052032676207538
144,-550.8626127395421,-48.93365701086023,-204.6097998749327,-72.235614938028,-0.5977204770274689
145,-488.26546096001647,-50.26014883105635,-209.8313444238216,-80.57360600139693,-2.2988655124609116
146,-600.3662781478431,-29.816031374549645,-190.00915190286582,-78.9530380267593,-1.2827283011083055
147,-517.4439593547254,-37.28453582854135,-226.16253860907372,-79.31416086297249,-0.6757317198789616
148,-572.3371133005174,-31.30437877888328,-193.45738023536907,-69.5549764508628,-1.152064987638617
149,-523.174868768753,-44.171720971437374,-201.1291163848592,-72.24675578484515,-2.8459168864297792
150,-520.0148592726681,-43.88834206961196,-172.75027963768176,-82.09383212250971,-3.677780758576932
151,-585.0125746003936,-28.95043954767886,-196.30086066467254,-79.17993322529999,-1.7326321805465534
152,-388.82214103993226,-22.70630264486264,-209.56994466151426,-78.90694384660785,-3.259516954647663
153,-410.61365204855247,-38.786718110416516,-202.65746557960327,-71.86535871106712,-1.894978045833538
154,-572.9012949345833,-51.48676312902381,-202.91140699937495,-79.48811551467671,-1.9095948222674266
155,-543.3437324566893,-46.84870145022017,-201.4048659375134,-73.82928949039574,-3.700356288302488
156,-456.021889020057,-29.871226877463688,-196.8414255082616,-74.34120127672995,-0.7177427539532211
157,-635.8880219658371,-42.32333459393106,-202.58833361585536,-78.24581286746438,-3.663282648496815
158,-524.3387507635991,-28.881513371630323,-210.6821561736185,-77.44822785563332,-2.2661079821852192
159,-587.8626764564328,-28.442342678098193,-206.6889501080282,-66.01552814189345,-1.7627005162819935
160,-719.9317102429475,-30.758032226020383,-196.90783978628394,-77.09065136393895,-1.9961851221135292
161,-630.2656082543582,-39.096081248068515,-197.26705752313606,-76.6490178050999,-0.3666255331167245
162,-508.96507377398297,-20.530246530616118,-213.66249260261122,-81.52418458568827,-1.2239778076305312
163,-611.5907878542253,-60.517745799413,-198.6528782422071,-77.81773339777916,-3.1402311205728504
164,-487.37302805587535,-29.26595136986002,-194.01951826245255,-81.53268848118051,-2.757361478137473
165,-519.8662128743711,-29.12649747529712,-195.77024145617096,-91.21081520443211,-1.9270006054466626
166,-572.7826976329179,-48.34009687864801,-195.41882502846374,-77.52758213744116,-2.794989676913666
167,-557.213473172365,-36.1486230878107,-199.01552748846174,-72.93940222357887,-1.7319465834735355
168,-422.1619904679603,-39.30382948150232,-205.28015344361182,-72.07194370073353,-2.618388249861945
169,-535.1304588519238,-49.051000319108866,-187.96908320268585,-79.90331030749957,-2.301843876867101
170,-468.41394427016934,-33.79945902844185,-199.03885061389576,-73.36783615010042,-2.5140127521017623
171,-441.6930031999223,-50.84846516009245,-208.45022392951006,-75.30234388703848,-3.013388461077864
172,-449.7063662248136,-38.925733137753895,-185.77089366331572,-71.82842052033361,-4.666582965033598
173,-577.9712451303182,-41.88252037762681,-213.97928232933484,-75.99545374791151,-2.6003278949498916
174,-388.9606884073894,-23.610427197511868,-202.40562881417713,-87.23327051403922,-1.2352023980184788
175,-324.43448364649817,-34.33215897623712,-214.70788672090077,-75.33482633455823,-0.8548395156310963
176,-463.04405022307316,-32.633863531804856,-186.1466348504889,-76.42941865587316,-1.3350647865725331
177,-419.06355935099594,-27.992335173589634,-183.84423731157028,-78.80535623778233,-2.546868838324081
178,-518.1832355685117,-39.147507237565804,-208.61444308223412,-73.0668795614501,-3.080374021215254
179,-443.93602843959536,-46.730160813228785,-197.21570530836667,-77.65851596807423,-2.0166184139202583
180,-497.34088804629187,-35.292183638264824,-207.64036038241593,-74.9507878498624,-2.8159101749390025
181,-582.6812213151078,-38.688799380343546,-209.2509053649101,-80.60179809898506,-2.1494414433588513
182,-453.7316791800995,-35.52430476410822,-205.1757506063557,-73.57329199452622,-2.926513228490153
183,-517.7074538487361,-46.20872239289312,-207.98900430149388,-78.57041248923471,-3.353109147552886
184,-524.9954298783043,-25.931046677157052,-199.05216075755797,-83.87406366243425,-3.30533611745353
185,-536.5419770378226,-39.347969756426444,-197.4402548259764,-73.07957059872237,-2.593858819983995
186,-467.0327323140879,-57.57529241858532,-210.82453600621892,-75.11021678533771,-1.1133457690299833
187,-391.10990784326077,-42.88522170844422,-208.1013230845393,-71.07148174594865,-2.175379998486226
188,-441.90494892504717,-13.474082446444271,-190.04447273827674,-80.38660275217627,-4.025910682045519
189,-394.1184265303596,-33.181113984626144,-210.70591620422337,-73.0282024424759,-1.9852448627087993
190,-351.89910953026293,-39.140700714306725,-187.75380682589176,-79.47736983262587,-3.8148576496971542
191,-381.67278696125464,-37.655455699862834,-190.42931945494902,-77.06843597433772,-2.264408811922476
192,-531.1452243562857,-24.06440127116947,-198.67976841595745,-75.83193044868105,-0.5420852745754217
193,-519.8656961366547,-31.253221994935537,-201.16664322408877,-77.3274865122143,-1.2481654927326653
194,-560.3155193694178,-52.71083796721483,-191.69442124861595,-72.64616654712535,-2.602942423826534
195,-441.04088784547247,-34.24183334321855,-194.9886488360459,-79.56490971162016,-1.8091632459790334
196,-433.8424436697536,-42.20843124071473,-189.74231461858622,-75.63578987275335,-4.484879710900121
197,-443.33308678552834,-38.48617810075924,-190.50884694073264,-76.08251020017715,-2.371139635882079
198,-557.6505077998094,-38.03273408900107,-193.5368185783097,-80.43238879137395,-2.289988891005557
199,-615.8990835752797,-34.014683894748295,-199.3558238247644,-72.52644874969117,-2.64827256268708
200,-637.6812854180282,-35.408400014879376,-195.67376216121025,-74.34673758298052,-2.6824750454666444
201,-452.4556799702608,-45.50877002894667,-207.71199043489747,-77.67193587146855,-2.7111294836557978
202,-560.5408895964335,-25.34051388546012,-195.74259910544828,-68.40155914986755,-1.478843568959645
203,-658.4360198371702,-22.6554890653751,-202.88576330125662,-74.53838601538588,-3.098007841886746
204,-600.5379976182159,-45.67266264214047,-200.27113800292935,-77.6695012113112,-2.6633780633393123
205,-508.0957233827789,-27.184777677371518,-196.4695190908893,-74.33850667026329,-1.5503654745101547
206,-584.5538152375782,-54.23890313530729,-204.72298274758887,-78.6764210373089,-1.349676909506343
207,-427.1816883272919,-48.59658081033525,-208.19974791882322,-74.76434428445847,-1.5158917726562553
208,-490.2468245119786,-41.31829982224983,-212.49750188286532,-74.39598372394676,-3.242534716156917
209,-599.8472999735687,-44.062699960388066,-202.9527648947018,-72.85824264512388,-2.587761411926615
210,-545.9845841172432,-41.44995648910133,-184.60702628122493,-73.23858545984035,-2.401548523228809
211,-466.0423599719662,-44.494464741334475,-189.4235669345803,-75.99878053342353,-2.900329565041145
212,-460.1188285038528,-39.195128714672414,-195.4616293915487,-88.35386864465008,-3.4667113136047045
213,-455.98470567222824,-46.674001709592176,-185.78983724032358,-78.19205534781578,-4.108079103173044
214,-525.2113450906991,-45.064869641838214,-207.59151568122644,-75.93999946331412,-3.108081478353186
215,-549.6175901784701,-43.70983043296125,-207.89757745370582,-78.18478688498729,-1.3246509021934214
216,-392.6426861179391,-37.01298544573655,-197.25181317212596,-68.98643205977297,-3.276815928853835
217,-519.9781877538732,-51.72532993068978,-180.64338086453222,-78.5742139017199,-3.214494917166761
218,-517.7438894844815,-41.29220909664877,-194.87982161277856,-79.39931619732943,-2.0329788354937413
219,-560.2349205991171,-30.989841164086698,-191.4807658924889,-74.2838215755737,-2.3402304731599894
220,-376.57154076802334,-35.10354865782869,-201.46435763837997,-80.74662353570726,-2.817308557589008
221,-505.0071472829133,-49.26391324707391,-194.2318611271546,-77.75109849175158,-2.4475045808328306
222,-387.08185126983983,-47.42192971994746,-182.16134816442062,-77.11324918207022,-3.9793804008617024
