draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
100,-382.4613402716846,-41.246815823006294,-146.84710918530715,-55.956511528309974,-1.5081881705104228
101,-319.38268361940675,-31.295614127309168,-129.6948368606018,-53.981807767223565,-2.324670392218122
102,-301.82526575837136,-35.779339623073774,-148.30169002915906,-51.84186317831177,-2.1842222484767717
103,-411.4813180190031,-26.878044750298038,-152.2977676125606,-53.11056782706116,-2.185237308156061
104,-382.66715507270135,-19.990373292695445,-145.7213033021186,-54.41985450621975,-1.901862134520153
105,-412.3769461318556,-39.24937490779164,-143.50430344487012,-56.09867765538756,-2.126097156425252
106,-323.32175982066724,-12.053846340328741,-146.24058659986798,-57.96508223802408,-1.217784901309984
107,-306.3907907965289,-28.73568958962983,-130.68347521722754,-51.254447106662745,-1.9114375872085037
108,-344.43960961400404,-27.700372039058504,-152.80567074921183,-50.842008878997206,-1.7718791026613587
109,-263.09902912012626,-31.548659057093953,-148.07912420661458,-52.453902566916724,-1.5887202034303483
110,-289.9994450809533,-19.56385672772836,-145.77930282844787,-62.591791006631134,-1.9638821251793077
111,-341.17234924954204,-34.30342035329602,-147.48868042339635,-53.08517087859442,-0.9637571713244562
112,-379.60389388197314,-30.16474288608026,-142.31025956364516,-51.80776783667381,-1.6078033943954864
113,-337.0817793586593,-35.050665441310024,-145.3416454200701,-57.21348773881917,-2.3569042504357554
114,-270.619926481408,-34.64520013000338,-155.22348123714426,-55.71339207163184,-1.5986780448816371
115,-212.5800291155506,-39.58374032183134,-149.5342725911907,-55.68764182500684,-2.901772401553796
116,-289.34613618252826,-44.206492364527215,-150.40098973740533,-53.729027170272744,-1.8138294984391887
117,-363.28642223523195,-29.10977760480308,-138.38818393912683,-49.22081214856261,-1.3855949577789708
118,-410.2067838934249,-26.045525650010056,-141.53342084281655,-58.901851781106416,-2.701533493560609
119,-330.33521059265587,-32.79958700802605,-150.46971883018438,-55.477458782241555,-1.5402800600081619
120,-359.841080807427,-22.147205111273838,-152.6135095508098,-50.939699292970616,-1.2816837547221511
121,-334.7464546786191,-34.71818470134283,-144.43075807098114,-54.179021438793484,-2.3496457350996938
122,-373.42774034408694,-25.922442865617004,-150.18423266597688,-52.49683358829846,-2.288304799720251
123,-276.528999286341,-12.080559014654286,-139.10245402351543,-55.43507194120155,-2.3490214615071796
124,-325.65461685481273,-22.418385945021505,-150.50171849598348,-56.361102228843535,-3.3758187440130905
125,-414.22661440011194,-24.21195443072909,-148.35572581109662,-54.52850812312973,-1.2998305801855468
126,-404.763811890252,-25.982592760159683,-144.76973584877905,-58.39517872867612,-1.5232604605984978
127,-361.31190206587087,-31.75392692356299,-128.60660084752698,-51.793708839528186,-1.5620024449418255
128,-342.4515152950783,-23.244424367268604,-128.17967095987245,-47.40834072451324,-1.4285769317270547
129,-301.47939677315475,-34.81204880772757,-140.93776217219107,-55.82311730625048,-2.0450500999571317
130,-444.27200482051603,-23.8214590192969,-136.77364149779416,-53.50606850199267,-1.2410040975154721
131,-287.55170064645455,-16.9615956025581,-150.36568805872912,-50.78864954662995,-1.4564514391291783
132,-446.2484071752112,-33.401049272408606,-138.02224202034046,-53.9377107156137,-1.3916443758813464
133,-329.15641392258766,-37.95427906961784,-144.0293555097878,-61.51949776143181,-2.3627927188444633
134,-325.3255963915057,-12.749426511323941,-150.96511922339715,-51.11021986685399,-1.595064197504955
135,-370.03325762630004,-38.937721629818824,-135.31050563657956,-53.50534621349371,-1.1553211781389356
136,-320.9921078054872,-31.2869407472242,-152.4781907943173,-58.54203863867681,-2.61295851751401
137,-504.40144250644676,-35.22423676991985,-136.64993539509223,-56.40411227965543,-1.6312470550714495
138,-360.371797160001,-18.71095013989348,-149.09826492241578,-55.62871226027547,-1.7231051453509532
139,-368.74641361182717,-33.282517289674736,-138.2120095474185,-54.24064961192823,-1.4485867289436911
140,-322.22525556672036,-24.07416691992379,-143.50942422340552,-52.10402918490072,-2.409589562988913
141,-365.62127258050754,-26.221851818519667,-144.54144442484494,-55.274625674799175,-2.198945036260128
142,-384.8292998284033,-26.502389017761526,-137.97313046327315,-55.85410049864408,-0.9283300970725799
143,-274.3886755446756,-36.0545703600115,-150.93329379623327,-60.04584048960681,-0.7574066086575802
144,-396.323283634902,-35.81642013861476,-146.85855336120542,-51.93937899918252,-0.43043451296084273
145,-351.3838834026027,-36.783730703314234,-150.59126545991248,-57.909207571686764,-1.6539199245872078
146,-431.8452178082362,-21.854367552362447,-136.41708087211984,-56.749322818684355,-0.9233772612581327
147,-372.3346200276424,-27.313477893322833,-162.2611133805309,-57.007805338901996,-0.48659150135466084
148,-411.7344553570262,-22.942757094757965,-138.88356315572776,-50.01898854230261,-0.8293786103113275
149,-376.4488956841367,-32.34234383545659,-144.36991344187828,-51.94735909615924,-2.046878995127281
150,-374.1803196887083,-32.135527650464326,-124.06710629535614,-58.99709603257735,-2.643972268358475
151,-420.8296367364764,-21.221272720400346,-140.9172313863702,-56.91172975921314,-1.2469325794976802
152,-279.941281220808,-16.651900713175767,-150.40441694457942,-56.7163290760109,-2.343820096955189
153,-295.60219719997133,-28.41077260437143,-145.4627023637082,-51.6741622028215,-1.3636466919950612
154,-412.1393011053485,-37.67804032757119,-145.64426750834244,-57.13231415531972,-1.3741539978451252
155,-390.92667463460015,-34.2956377560815,-144.56708255261609,-53.08082024957625,-2.660168874656162
156,-328.22612133097095,-21.894734856665064,-141.3038205070302,-53.447427549054446,-0.5168314581868736
157,-457.3247692258304,-30.99319515369916,-145.41327351391809,-56.24308075541511,-2.633570520862063
158,-377.28443262874447,-21.17085655425485,-151.19941270037484,-55.67211279380607,-1.6303819566656004
159,-422.87456665501054,-20.849612348737164,-148.34495912734263,-47.48252494619335,-1.268550962381409
160,-517.577314171537,-22.543255963092047,-141.35131664083985,-55.41611867109294,-1.4363961766266393
161,-453.2923707074328,-28.63672200757579,-141.60820891944752,-55.099933653532844,-0.2640506157281905
162,-366.24716608208786,-15.058500007893144,-153.32955619726204,-58.589471047971564,-0.881114075682705
163,-439.8973534523988,-44.25746574340177,-142.59923680996766,-55.936637018664605,-2.2581935717327837
164,-350.74301443619663,-21.4520478069017,-139.28562394729715,-58.59555639346851,-1.9832837397219423
165,-374.0736046470483,-21.35004825146972,-140.53774721118535,-65.51766840404248,-1.3866659672295256
166,-412.05419815854873,-35.38352035594494,-140.28641967833394,-55.728922358327104,-2.010306843026859
167,-400.8812796904099,-26.48356954823212,-142.85856583472406,-52.443477733926315,-1.2464396439552992
168,-303.9004310608816,-28.788449198363125,-147.33780884979473,-51.82214156272272,-1.8834688953390488
169,-385.0312644005667,-35.90199737888837,-134.95768788536301,-57.42948250935613,-1.6560599902627746
170,-337.12703589558737,-24.766807081923513,-142.87524398564756,-52.75033206645433,-1.8084931651743168
