LSOA11CD,LSOA11NM,population_2021
E01000351,Bexley 024A,1492.65216344292
E01000352,Bexley 021D,1683.8040625453
E01000353,Bexley 011A,1711.7857324481
E01000354,Bexley 011B,1267.42770892382
E01000355,Bexley 011C,1507.88980068325
E01000356,Bexley 009A,1736.97562533617
E01000357,Bexley 009B,1540.2326284349
E01000358,Bexley 011D,1540.4673230201
E01000359,Bexley 009C,1335.84792727232
E01000360,Bexley 015A,1837.77443261445
E01000361,Bexley 020C,1612.14478758816
E01000362,Bexley 015B,1804.39736942202
E01000363,Bexley 020D,1830.34346838412
E01000364,Bexley 023A,1618.56236696243
E01000365,Bexley 015C,1844.220338732
E01000366,Bexley 015D,1632.61361216381
E01000367,Bexley 010A,2465.26537739486
E01000368,Bexley 010B,1732.94431779755
E01000369,Bexley 014C,1779.84849138185
E01000370,Bexley 014D,1640.4595224075
E01000371,Bexley 014E,1481.21290031075
E01000372,Bexley 010C,1521.61939066648
E01000373,Bexley 008A,1089.80927683413
E01000374,Bexley 019A,1754.20994104988
E01000375,Bexley 019B,2075.91633756058
E01000376,Bexley 019C,2173.41937009072
E01000377,Bexley 019D,1403.16269172047
E01000378,Bexley 019E,2501.94651777657
E01000379,Bexley 019F,2069.20549074747
E01000380,Bexley 010D,1179.05643696338
E01000381,Bexley 028A,1452.45278827801
E01000382,Bexley 027A,1677.65540149278
E01000383,Bexley 028B,1909.27080664464
E01000384,Bexley 027B,1500.92463955283
E01000385,Bexley 028C,1913.20376402674
E01000386,Bexley 028D,1497.56616321614
E01000387,Bexley 027C,1666.57849147706
E01000388,Bexley 016A,1943.3905519384
E01000389,Bexley 020E,1692.9039329848
E01000390,Bexley 020F,1349.04410465802
E01000391,Bexley 021E,1649.91628227286
E01000392,Bexley 016B,1479.75591495633
E01000393,Bexley 020G,1759.07674086094
E01000394,Bexley 015E,1585.32927817106
E01000395,Bexley 018B,1524.9702183133
E01000396,Bexley 018C,1382.6565688327
E01000398,Bexley 029A,1523.87003032386
E01000399,Bexley 029B,1494.56968474761
E01000400,Bexley 029C,1731.82679865323
E01000401,Bexley 013A,1949.65590751171
E01000402,Bexley 005B,1610.37162728608
E01000403,Bexley 004A,3306.03228756413
E01000404,Bexley 004B,1475.46784968954
E01000405,Bexley 004C,1686.77008392755
E01000406,Bexley 005C,2365.92361059987
E01000407,Bexley 005D,2044.76125529408
E01000408,Bexley 004D,1705.3352744974
E01000409,Bexley 016C,1881.40499338508
E01000410,Bexley 018D,1830.13133943971
E01000411,Bexley 016D,1537.47045359015
E01000412,Bexley 018E,1708.09802304208
E01000413,Bexley 018F,1525.42393431067
E01000414,Bexley 016E,1696.04212790728
E01000415,Bexley 016F,1412.92888376117
E01000416,Bexley 002A,1646.4663426578
E01000417,Bexley 006B,1706.63142205282
E01000418,Bexley 002B,1636.87367974838
E01000419,Bexley 006C,1672.33686901629
E01000420,Bexley 006D,1684.49556489289
E01000421,Bexley 009D,1642.40271487832
E01000422,Bexley 002C,1164.10994189978
E01000423,Bexley 025C,1645.16723835468
E01000424,Bexley 026A,1896.19373245537
E01000425,Bexley 025D,1770.8853957504
E01000426,Bexley 026B,1590.58443938289
E01000427,Bexley 026C,2124.02405139245
E01000428,Bexley 027D,1901.43119039791
E01000429,Bexley 008B,1695.10984813049
E01000430,Bexley 008C,2115.89913727404
E01000431,Bexley 008D,1139.84917074442
E01000432,Bexley 008E,3150.83961348236
E01000433,Bexley 008F,1702.02335849404
E01000434,Bexley 008G,1552.57151411358
E01000435,Bexley 010E,1505.14933741093
E01000436,Bexley 011E,1699.18548974395
E01000437,Bexley 007A,1436.76440940425
E01000438,Bexley 007B,1554.46237888932
E01000439,Bexley 007C,1511.12167149037
E01000440,Bexley 007D,1434.89221543074
E01000441,Bexley 007E,1750.03428149223
E01000442,Bexley 006E,1743.46812488884
E01000443,Bexley 024B,1290.30864689499
E01000444,Bexley 023B,1625.9363400683
E01000445,Bexley 024C,1650.37153715047
E01000446,Bexley 024D,1598.7431762889
E01000447,Bexley 023C,1894.16775749073
E01000448,Bexley 023D,1274.65537813133
E01000449,Bexley 023E,1721.55589523166
E01000450,Bexley 009E,1725.71782943606
E01000451,Bexley 009F,1776.88245931268
E01000452,Bexley 009G,1360.0707269907
E01000453,Bexley 013B,1463.27629829943
E01000454,Bexley 013C,1618.65951615572
E01000455,Bexley 013D,1869.67380656302
E01000456,Bexley 013E,1451.0593188107
E01000457,Bexley 026D,1869.08491005562
E01000458,Bexley 027E,1667.2052738741
E01000459,Bexley 027F,1990.74968901277
E01000460,Bexley 022E,1257.77425562918
E01000461,Bexley 024E,1616.46459890297
E01000462,Bexley 026E,2013.89608515427
E01000463,Bexley 025E,1327.6780641675
E01000464,Bexley 002D,1756.25810229778
E01000465,Bexley 002E,1209.51405141503
E01000466,Bexley 001A,2316.59095790951
E01000467,Bexley 001B,1836.99466317333
E01000468,Bexley 001C,2413.8020147811
E01000469,Bexley 001D,2034.96150748758
E01000470,Bexley 002F,1617.90323398284
E01000471,Brent 026A,1721.62752184272
E01000472,Brent 029A,1948.48243447207
E01000473,Brent 029B,1990.07337272167
E01000474,Brent 026B,2367.49240027368
E01000475,Brent 029C,1854.5056919679
E01000476,Brent 026C,2195.11314839125
E01000477,Brent 026D,2089.58049253374
E01000478,Brent 029D,3153.66639462113
E01000479,Brent 009A,1805.07664439082
E01000480,Brent 006A,1947.83424372226
E01000481,Brent 009B,1686.57846368344
E01000482,Brent 009C,2937.85922323167
E01000483,Brent 009D,1771.48682139069
E01000484,Brent 006B,1398.59708303958
E01000485,Brent 006C,1377.79985520244
E01000486,Brent 006D,1828.77017761744
E01000487,Brent 006E,2015.19652482867
E01000488,Brent 022A,1785.44251582026
E01000489,Brent 030A,1851.43657366931
E01000490,Brent 023A,1780.82433229685
E01000491,Brent 030B,2159.32463017106
E01000492,Brent 030C,1063.39870305359
E01000493,Brent 030D,1677.91930353642
E01000494,Brent 023B,1796.5631326735
E01000495,Brent 023C,1651.28654384613
E01000497,Brent 011A,1910.52234610915
E01000498,Brent 010B,1636.58962118115
E01000499,Brent 011B,2098.34967362745
E01000501,Brent 011C,1411.87956506014
E01000502,Brent 011D,1920.31574866513
E01000503,Brent 011E,2543.52953768086
E01000504,Brent 018A,1667.31589001417
E01000505,Brent 018B,1815.93124169111
E01000506,Brent 014A,1690.92753481865
E01000507,Brent 018C,1651.62509380095
E01000508,Brent 025A,2566.90851764381
E01000509,Brent 014B,1732.79463893175
E01000510,Brent 014C,1635.00782483816
E01000511,Brent 014D,1565.99405315518
E01000512,Brent 018D,1717.00136163831
E01000513,Brent 002A,1661.34813411534
E01000514,Brent 002B,1795.07848328352
E01000515,Brent 003A,1674.90027456844
E01000516,Brent 002C,2353.38517548144
E01000517,Brent 003B,1598.62476279587
E01000518,Brent 005A,2211.28052479042
E01000519,Brent 005B,2009.25670684493
E01000520,Brent 002D,1573.42867460102
E01000521,Brent 025B,2295.28634285927
E01000522,Brent 025C,1862.2587339282
E01000523,Brent 031A,2458.83719056845
E01000524,Brent 031B,2350.82388442755
E01000525,Brent 031C,1823.81944011152
E01000526,Brent 025D,1937.04943624139
E01000527,Brent 025E,2152.41911327839
E01000528,Brent 025F,1588.18952047825
E01000530,Brent 033A,2174.90483379364
E01000531,Brent 033B,1509.14197826385
E01000532,Brent 033C,1379.92567998171
E01000533,Brent 031E,2005.38923633099
E01000534,Brent 033D,1476.61482921243
E01000535,Brent 031F,2473.12105154991
E01000536,Brent 004A,1589.53990055621
E01000538,Brent 004B,1781.81645353604
E01000539,Brent 004C,1627.9819887951
E01000540,Brent 004D,1469.86055201292
E01000541,Brent 004E,1231.60495744273
E01000543,Brent 003E,1491.25121329725
E01000544,Brent 034A,1690.10772299767
E01000545,Brent 028A,1814.94391000271
E01000546,Brent 028B,1771.34510070086
E01000547,Brent 028C,1500.31703802943
E01000548,Brent 028D,1810.4628213346
E01000549,Brent 028E,1743.19642305374
E01000550,Brent 034B,2494.25172719359
E01000551,Brent 034C,2822.64979934692
E01000552,Brent 034D,1591.82526040077
E01000553,Brent 015A,2135.66543033719
E01000554,Brent 015B,1706.22316740453
E01000555,Brent 015C,2173.14085876942
E01000556,Brent 015D,1952.19667834044
E01000557,Brent 015E,1914.2697108984
E01000558,Brent 015F,1703.93912124634
E01000559,Brent 018E,1291.20143407583
E01000560,Brent 023D,1502.4183908999
E01000561,Brent 023E,1800.00576674938
E01000562,Brent 008A,1543.19914278388
E01000563,Brent 008B,1710.90030832805
E01000564,Brent 013A,1414.76531879604
E01000565,Brent 013B,1436.12880635262
E01000566,Brent 008C,1605.97007834911
E01000567,Brent 016A,1485.14845713973
E01000568,Brent 008D,2180.19777670836
E01000569,Brent 008E,1533.47521774709
E01000570,Brent 012A,1628.12962090969
E01000571,Brent 012B,2124.53472081572
E01000572,Brent 007A,1567.30588451028
E01000573,Brent 007B,1756.69802681357
E01000574,Brent 007C,1354.34084532782
E01000575,Brent 007D,2396.18449793011
E01000576,Brent 012C,1808.36313565075
E01000577,Brent 007E,2385.11323199049
E01000578,Brent 012D,2470.19892698526
E01000579,Brent 032A,1597.52096965909
E01000580,Brent 032B,2354.82592917606
E01000581,Brent 030E,1493.98876309395
E01000582,Brent 032C,2061.2432924509
E01000583,Brent 032D,2179.5472175777
E01000584,Brent 033E,1545.7350769043
E01000585,Brent 033F,1538.08394533396
E01000586,Brent 032E,2008.2458575666
E01000587,Brent 001A,2064.24850350618
E01000588,Brent 002E,2944.3091230914
E01000589,Brent 001B,2579.16679045558
E01000590,Brent 001C,1971.60788090527
E01000591,Brent 003F,2221.82661612704
E01000592,Brent 001D,2071.50249284506
E01000593,Brent 001E,1789.13656264544
E01000594,Brent 001F,1777.14521296322
E01000595,Brent 027A,2251.82189147174
E01000596,Brent 021A,2162.28922098875
E01000599,Brent 027D,1520.38193960488
E01000600,Brent 027E,4571.14423890645
E01000601,Brent 021B,2007.89822230488
E01000602,Brent 021C,971.387008592486
E01000603,Brent 021D,1279.48588335514
E01000604,Brent 021E,1269.10260764137
E01000605,Brent 021F,1601.52922081947
E01000606,Brent 016B,1626.73772598058
E01000607,Brent 013C,2381.302885741
E01000608,Brent 013D,2359.8676280533
E01000609,Brent 016C,2413.50940684974
E01000610,Brent 019A,2357.18659431988
E01000611,Brent 016D,2006.0622830987
E01000612,Brent 019B,2168.23250470951
E01000613,Brent 013E,1859.58775633574
E01000615,Brent 017B,3427.79500067234
E01000616,Brent 020A,1840.13482099771
E01000617,Brent 017C,2523.66509142518
E01000618,Brent 017D,1616.28693337739
E01000619,Brent 017E,1764.49828539044
E01000620,Brent 020B,2505.71251416206
E01000621,Brent 020C,1627.95934401825
E01000622,Brent 010D,1762.13424720019
E01000623,Brent 005C,1783.49439206719
E01000624,Brent 005D,2058.2256473368
E01000625,Brent 009E,1580.17254278064
E01000626,Brent 010E,1436.29111219943
E01000627,Brent 014E,2129.35778331757
E01000628,Brent 014F,1948.57425244153
E01000629,Brent 005E,1875.54702988267
E01000630,Brent 026E,2572.62223693728
E01000631,Brent 019C,2185.33139164746
E01000632,Brent 029E,2710.66361346096
E01000633,Brent 019D,2709.78833156824
E01000634,Brent 019E,2189.37785357237
E01000635,Brent 020D,3156.79448395967
E01000636,Brent 020E,2515.46822459996
E01000637,Brent 022B,1127.89123469591
E01000638,Brent 024A,2065.85563032888
E01000639,Brent 022C,1804.16122865677
E01000640,Brent 024B,2118.28693723679
E01000641,Brent 024C,2220.54242923856
E01000642,Brent 022D,1985.84810394049
